District,Commodity,Population_million,Production_Tonnes,Avg_Price
Ariyalur,Amaranthus,83.9,290269.68,2040.46
Ariyalur,Amaranthus,83.9,932485.44,1612.28
Ariyalur,Amaranthus,83.9,103090.96,2125.16
Ariyalur,Amaranthus,83.9,119078.08,2130.0
Ariyalur,Amaranthus,83.9,131089.12,2103.87
Ariyalur,Amaranthus,83.9,886594.56,1983.27
Ariyalur,Amaranthus,83.9,760164.32,1985.08
Ariyalur,Amaranthus,84.8,881208.48,2093.0
Ariyalur,Amaranthus,84.8,782104.08,2043.16
Ariyalur,Amaranthus,84.8,642553.92,1865.0
Ariyalur,Amaranthus,84.8,389748.64,1842.0
Ariyalur,Amaranthus,84.8,532676.08,1974.92
Ariyalur,Amaranthus,84.8,608043.52,2078.57
Ariyalur,Amaranthus,84.8,950750.72,2233.33
Ariyalur,Amaranthus,84.8,875294.08,2030.0
Ariyalur,Amaranthus,84.8,1162351.04,2015.17
Ariyalur,Amaranthus,84.8,1141797.84,2073.96
Ariyalur,Amaranthus,84.8,195200.0,1950.0
Ariyalur,Ash Gourd,83.9,500994.0,1440.0
Ariyalur,Ash Gourd,83.9,101069.6,1360.0
Ariyalur,Ash Gourd,83.9,38010.08,2040.0
Ariyalur,Ash Gourd,84.8,95023.36,1200.0
Ariyalur,Ash Gourd,84.8,377201.12,903.53
Ariyalur,Ash Gourd,84.8,913466.24,979.5
Ariyalur,Ash Gourd,84.8,808742.4,1101.95
Ariyalur,Ash Gourd,84.8,1037599.2,1212.0
Ariyalur,Ash Gourd,84.8,736290.16,1122.22
Ariyalur,Ash Gourd,84.8,1016546.88,1160.0
Ariyalur,Ash Gourd,84.8,1075016.8,1164.44
Ariyalur,Ash Gourd,84.8,1505569.44,1111.76
Ariyalur,Ash Gourd,84.8,1212488.16,1168.06
Ariyalur,Avarai,83.9,63695.44,6456.4
Ariyalur,Avarai,83.9,194434.8,5417.14
Ariyalur,Avarai,83.9,919072.96,5191.76
Ariyalur,Avarai,83.9,1029392.88,4472.43
Ariyalur,Avarai,83.9,1062177.04,6275.29
Ariyalur,Avarai,83.9,1329336.32,5774.66
Ariyalur,Avarai,83.9,1441352.64,5732.14
Ariyalur,Avarai,84.8,1652229.12,5448.0
Ariyalur,Avarai,84.8,1307714.24,4148.57
Ariyalur,Avarai,84.8,1222308.16,3292.0
Ariyalur,Avarai,84.8,1140888.64,3949.0
Ariyalur,Avarai,84.8,1094885.76,4525.0
Ariyalur,Avarai,84.8,917772.8,4918.93
Ariyalur,Avarai,84.8,1272259.6,4601.89
Ariyalur,Avarai,84.8,1356091.2,4296.67
Ariyalur,Avarai,84.8,1807531.52,3896.95
