State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual_rainfall,Kharif,Rabi,Zaid,Winter,Summer,Autumn
Tamil Nadu,1901,24.5,39.1,21.7,36.0,74.0,41.8,49.3,67.9,191.1,122.3,212.3,80.4,960.4,472.4,500.3,173.5,144.0,173.5,525.7
Tamil Nadu,1902,67.2,9.8,25.1,21.9,84.7,39.3,55.1,113.8,98.6,282.2,174.9,165.8,1138.4,589.0,725.0,171.0,242.8,171.0,555.7
Tamil Nadu,1903,19.3,7.8,1.7,18.2,128.5,58.5,72.6,115.0,210.4,128.1,200.5,203.2,1163.8,584.6,560.5,206.9,230.28,206.9,539.0
Tamil Nadu,1904,35.2,0.1,0.7,19.5,121.9,34.9,89.0,40.4,85.7,163.2,23.6,49.1,663.3,413.2,271.9,177.0,84.4,177.0,272.5
Tamil Nadu,1905,6.5,7.5,17.2,64.8,83.7,49.8,39.0,101.8,73.5,250.4,123.7,3.2,821.1,514.5,408.5,215.5,17.2,215.5,447.6
Tamil Nadu,1906,52.4,12.9,17.0,8.5,39.6,43.6,76.0,195.2,65.3,162.8,189.1,127.7,990.1,542.9,561.9,108.7,193.0,108.7,417.2
Tamil Nadu,1907,8.4,1.2,25.0,78.9,56.6,46.1,70.4,58.2,117.2,160.4,200.0,63.2,885.6,452.3,458.25,206.6,72.8,206.6,477.6
Tamil Nadu,1908,16.8,36.9,25.0,24.5,70.3,34.2,37.5,48.4,154.2,261.0,36.1,20.1,765.0,535.3,395.9,154.0,73.81,154.0,451.3
Tamil Nadu,1909,116.5,11.2,7.7,68.6,117.4,30.8,36.1,206.6,106.1,158.0,74.7,20.8,954.5,537.6,388.9,224.5,148.5,224.5,338.8
Tamil Nadu,1910,9.2,21.2,2.4,26.8,64.7,51.5,148.1,142.0,52.4,278.0,146.7,0.6,943.6,672.0,458.1,145.4,31.0,145.4,477.1
Tamil Nadu,1911,2.8,1.1,6.0,30.8,72.1,70.7,50.3,28.9,120.5,125.6,176.2,130.1,815.1,396.0,441.75,179.6,134.0,179.6,422.3
Tamil Nadu,1912,5.9,2.8,2.9,18.5,64.2,46.7,34.8,74.2,126.7,244.2,259.3,23.9,904.1,526.6,539.0,132.3,32.594,132.3,630.2
Tamil Nadu,1913,2.9,3.2,6.6,21.0,64.6,29.7,58.7,62.3,124.8,203.4,184.1,117.7,879.0,478.9,517.9,121.9,123.8,121.9,512.3
Tamil Nadu,1914,5.7,1.9,5.6,34.6,57.1,37.9,37.6,98.4,132.2,281.2,129.1,132.0,953.3,587.3,555.5,135.2,139.6,135.2,542.5
