District,Commodity,YM,Year,Population_million,Production_Tonnes
Ariyalur,Amaranthus,2024-06,2024,83.9,1090269.68
Ariyalur,Amaranthus,2024-07,2024,83.9,1032485.44
Ariyalur,Amaranthus,2024-08,2024,83.9,1030900.96
Ariyalur,Amaranthus,2024-09,2024,83.9,1189078.08
Ariyalur,Amaranthus,2024-10,2024,83.9,1031089.12
Ariyalur,Amaranthus,2024-11,2024,83.9,886594.56
Ariyalur,Amaranthus,2024-12,2024,83.9,760164.32
Ariyalur,Amaranthus,2025-01,2025,84.8,881268.48
Ariyalur,Amaranthus,2025-02,2025,84.8,782104.08
Ariyalur,Amaranthus,2025-03,2025,84.8,642553.92
Ariyalur,Amaranthus,2025-04,2025,84.8,389748.64
Ariyalur,Amaranthus,2025-05,2025,84.8,532676.08
Ariyalur,Amaranthus,2025-06,2025,84.8,608043.52
Ariyalur,Amaranthus,2025-07,2025,84.8,950750.72
Ariyalur,Amaranthus,2025-08,2025,84.8,875294.08
Ariyalur,Amaranthus,2025-09,2025,84.8,1162351.04
Ariyalur,Amaranthus,2025-10,2025,84.8,1141797.84
Ariyalur,Amaranthus,2025-11,2025,84.8,195200.0
Ariyalur,Ash Gourd,2024-10,2024,83.9,500994.0
Ariyalur,Ash Gourd,2024-11,2024,83.9,101069.6
Ariyalur,Ash Gourd,2024-12,2024,83.9,38010.08
Ariyalur,Ash Gourd,2025-03,2025,84.8,95023.36
Ariyalur,Ash Gourd,2025-04,2025,84.8,377201.12
Ariyalur,Ash Gourd,2025-05,2025,84.8,913466.24
Ariyalur,Ash Gourd,2025-06,2025,84.8,808742.4
Ariyalur,Ash Gourd,2025-07,2025,84.8,1037599.2
Ariyalur,Ash Gourd,2025-08,2025,84.8,736290.16
Ariyalur,Ash Gourd,2025-09,2025,84.8,1016546.88
Ariyalur,Ash Gourd,2025-10,2025,84.8,1075016.8
Ariyalur,Ash Gourd,2025-11,2025,84.8,1505569.44
Ariyalur,Ash Gourd,2025-12,2025,84.8,1212488.16
Ariyalur,Avarai,2024-06,2024,83.9,63695.44
Ariyalur,Avarai,2024-07,2024,83.9,194434.8
Ariyalur,Avarai,2024-08,2024,83.9,919072.96
Ariyalur,Avarai,2024-09,2024,83.9,1029392.88
Ariyalur,Avarai,2024-10,2024,83.9,1062177.04
Ariyalur,Avarai,2024-11,2024,83.9,1329336.32
Ariyalur,Avarai,2024-12,2024,83.9,1441352.64
Ariyalur,Avarai,2025-01,2025,84.8,1652229.12
Ariyalur,Avarai,2025-02,2025,84.8,1307714.24
Ariyalur,Avarai,2025-03,2025,84.8,1222308.16
